,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,500-599,1/456.4,9612円,69分,8402円,153件
1,600-699,1/405.7,8135円,60分,8072円,360件
2,700-799,1/393.9,7622円,59分,7805円,474件
3,800-899,1/347.6,8980円,55分,9776円,544件
4,900-999,1/298.4,10920円,52分,12523円,445件
5,1000-1099,1/230.7,9068円,42分,12918円,348件
6,1100-1199,1/160.1,11335円,37分,18271円,275件
7,1200-1299,1/97.4,13941円,33分,25054円,114件
