,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,500-599,1/417.5,9708円,64分,9135円,40件
1,600-699,1/425.2,9058円,64分,8471円,130件
2,700-799,1/367.6,10688円,60分,10680円,241件
3,800-899,1/352.7,8905円,56分,9570円,345件
4,900-999,1/289.7,10825円,51分,12675円,479件
5,1000-1099,1/240.6,9540円,44分,13134円,466件
6,1100-1199,1/162.8,10284円,36分,17244円,416件
7,1200-1299,1/101.1,14557円,34分,25434円,194件
