,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/408.6,8407円,61分,8237円,52件
1,700-799,1/373.2,12179円,62分,11721円,115件
2,800-899,1/329.3,12224円,58分,12720円,168件
3,900-999,1/299.7,13149円,56分,14171円,253件
4,1000-1099,1/233.5,15526円,51分,18138円,309件
5,1100-1199,1/162.2,13524円,40分,20145円,358件
6,1200-1299,1/96.7,15511円,35分,26382円,214件
