,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,700-799,1/283.9,13714円,54分,15198円,37件
1,800-899,1/273.6,15766円,56分,16847円,72件
2,900-999,1/234.7,14926円,51分,17614円,134件
3,1000-1099,1/203.6,17924円,51分,20963円,145件
4,1100-1199,1/150.9,16908円,44分,23000円,117件
5,1200-1299,1/99.5,14592円,34分,25499円,54件
