,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,800-899,1/307.9,8704円,50分,10498円,35件
1,900-999,1/291.8,17664円,61分,17486円,59件
2,1000-1099,1/227.5,15537円,51分,18265円,113件
3,1100-1199,1/158.9,14583円,42分,21010円,142件
4,1200-1299,1/99.9,15062円,35分,26039円,79件
