,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,500-599,1/405.1,10624円,64分,9972円,38件
1,600-699,1/398.4,10732円,63分,10165円,188件
2,700-799,1/379.6,7350円,57分,7784円,289件
3,800-899,1/340.5,10790円,57分,11367円,400件
4,900-999,1/294.5,10938円,52分,12676円,381件
5,1000-1099,1/230.2,9752円,43分,13639円,304件
6,1100-1199,1/159.8,10093円,36分,17003円,227件
7,1200-1299,1/96.2,12585円,31分,24437円,97件
