,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,500-599,1/407.5,11225円,65分,10334円,36件
1,600-699,1/410.5,9035円,62分,8706円,86件
2,700-799,1/397.4,11787円,65分,10933円,163件
3,800-899,1/347.2,12086円,60分,12165円,275件
4,900-999,1/300.9,13368円,56分,14323円,357件
5,1000-1099,1/235.8,13994円,49分,16982円,431件
6,1100-1199,1/162.4,14769円,42分,20991円,437件
7,1200-1299,1/99,14371円,34分,25535円,271件
