,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,400-499,1/427,10091円,66分,9218円,71件
1,500-599,1/455.8,7594円,66分,6953円,372件
2,600-699,1/421.9,5350円,59分,5484円,560件
3,700-799,1/403.1,7697円,60分,7736円,708件
4,800-899,1/348.5,8727円,55分,9540円,703件
5,900-999,1/299.6,7645円,48分,9605円,530件
6,1000-1099,1/240.2,9609円,44分,13121円,411件
7,1100-1199,1/160.6,12387円,39分,19255円,314件
8,1200-1299,1/98.7,12891円,32分,24096円,127件
