,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,900-999,1/242.2,12028円,47分,15336円,23件
1,1000-1099,1/243.9,22488円,62分,21774円,28件
2,1100-1199,1/142.5,17808円,45分,23904円,70件
3,1200-1299,1/96.1,17257円,38分,27347円,44件
