,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,200-299,1/583.3,6512円,78分,4989円,58件
1,300-399,1/567.1,3558円,73分,2943円,201件
2,400-499,1/500.2,6174円,69分,5397円,546件
3,500-599,1/499.7,6126円,69分,5359円,846件
4,600-699,1/464,7117円,66分,6471円,1151件
5,700-799,1/433.3,6106円,61分,6019円,1257件
6,800-899,1/381.1,7322円,56分,7776円,1223件
7,900-999,1/317.2,8121円,50分,9669円,1017件
8,1000-1099,1/245.8,13145円,49分,15953円,821件
9,1100-1199,1/167.8,15837円,44分,21563円,617件
10,1200-1299,1/102.5,19587円,42分,28188円,255件
