,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,900-999,1/267.2,19205円,61分,18923円,23件
1,1000-1099,1/208.1,28659円,68分,25277円,54件
2,1100-1199,1/150.8,26840円,58分,27676円,80件
3,1200-1299,1/97.4,22789円,46分,30020円,48件
