,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,400-499,1/501.5,11663円,76分,9230円,28件
1,500-599,1/463.7,5988円,64分,5595円,99件
2,600-699,1/406.6,8898円,62分,8617円,252件
3,700-799,1/386.4,8859円,59分,8947円,358件
4,800-899,1/346.7,10953円,58分,11333円,521件
5,900-999,1/310.6,8503円,50分,10154円,603件
6,1000-1099,1/238.8,9675円,44分,13318円,585件
7,1100-1199,1/166.7,12236円,39分,18843円,474件
8,1200-1299,1/99,15850円,36分,26224円,213件
