,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/293.2,10401円,51分,12281円,57件
1,700-799,1/358.9,11256円,60分,11247円,252件
2,800-899,1/299.9,11607円,53分,13084円,279件
3,900-999,1/232.8,14815円,50分,17658円,136件
4,1000-1099,1/209.7,15043円,47分,19006円,71件
5,1100-1199,1/143,12224円,37分,20053円,47件
