,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,400-499,1/473.3,3686円,62分,3563円,1021件
1,500-599,1/456.6,4425円,61分,4333円,1728件
2,600-699,1/420.9,5169円,58分,5335円,1168件
3,700-799,1/387.7,7400円,58分,7705円,502件
4,800-899,1/331.7,6618円,50分,7961円,386件
5,900-999,1/290.4,9776円,50分,11718円,216件
6,1000-1099,1/227.2,15413円,51分,18273円,181件
