,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,900-999,1/206.9,17520円,52分,20321円,35件
1,1000-1099,1/199.8,16592円,49分,20377円,52件
2,1100-1199,1/155.3,21959円,51分,25720円,73件
3,1200-1299,1/102.6,18565円,40分,27781円,61件
