,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,300-399,1/531.2,5537円,71分,4682円,99件
1,400-499,1/517.6,6112円,71分,5198円,296件
2,500-599,1/471.2,7340円,67分,6570円,584件
3,600-699,1/461.8,7117円,66分,6491円,870件
4,700-799,1/421.8,7747円,62分,7503円,1058件
5,800-899,1/371.9,7749円,56分,8284円,1069件
6,900-999,1/319.4,8029円,50分,9550円,972件
7,1000-1099,1/244.4,12273円,48分,15334円,753件
8,1100-1199,1/168.8,14285円,42分,20366円,627件
9,1200-1299,1/100.2,20692円,43分,29012円,259件
