,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,400-499,1/415.5,4237円,56分,4537円,223件
1,500-599,1/447.6,5026円,61分,4932円,1086件
2,600-699,1/413.5,5877円,58分,6050円,1190件
3,700-799,1/375.3,7608円,56分,8082円,534件
4,800-899,1/340.1,8023円,53分,9109円,304件
5,900-999,1/281.5,8737円,47分,11045円,213件
6,1000-1099,1/236,16169円,53分,18364円,118件
7,1100-1199,1/168.9,13677円,42分,19570円,106件
