,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,300-399,1/485.1,1658円,60分,1648円,409件
1,400-499,1/488,3466円,64分,3273円,2098件
2,500-599,1/466.4,4261円,62分,4121円,2141件
3,600-699,1/428.8,5290円,59分,5354円,1000件
4,700-799,1/380.4,6075円,55分,6660円,599件
5,800-899,1/341.6,6828円,52分,7938円,396件
6,900-999,1/304.7,11543円,54分,12812円,209件
7,1000-1099,1/248.1,12383円,49分,15193円,172件
