,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,500-599,1/447.6,8482円,66分,7738円,72件
1,600-699,1/446.6,9867円,68分,8756円,148件
2,700-799,1/391.6,10798円,63分,10325円,250件
3,800-899,1/349.3,13082円,61分,12785円,408件
4,900-999,1/305.7,13985円,57分,14632円,463件
5,1000-1099,1/244.6,13359円,50分,16158円,531件
6,1100-1199,1/163.5,14073円,41分,20527円,536件
7,1200-1299,1/99.4,17070円,38分,27251円,294件
