,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,200-299,1/531.5,2827円,67分,2520円,167件
1,300-399,1/548.6,2911円,70分,2511円,893件
2,400-499,1/511.9,2987円,66分,2735円,1505件
3,500-599,1/498.8,4525円,66分,4099円,1902件
4,600-699,1/464.5,4483円,62分,4330円,1731件
5,700-799,1/411.6,4574円,56分,4875円,1434件
6,800-899,1/369.5,6921円,55分,7579円,1074件
7,900-999,1/311.1,10399円,53分,11763円,788件
8,1000-1099,1/242.1,11837円,47分,15067円,523件
9,1100-1199,1/174.5,15211円,44分,20600円,260件
10,1200-1299,1/100.3,16049円,36分,26705円,79件
