,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,0-99,1/706.4,-3745円,78分,-2890円,22件
1,100-199,1/597.6,-16円,71分,-14円,3989件
2,200-299,1/589.9,576円,71分,487円,6645件
3,300-399,1/566.9,1227円,69分,1062円,4491件
4,400-499,1/520.7,2081円,65分,1913円,2260件
5,500-599,1/504.1,2813円,64分,2624円,1604件
6,600-699,1/477,3904円,63分,3714円,872件
7,700-799,1/418.5,9147円,64分,8632円,739件
8,800-899,1/418.9,5668円,59分,5787円,84件
