,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/385.3,16545円,70分,14184円,24件
1,700-799,1/359.5,11940円,61分,11775円,51件
2,800-899,1/323.8,17255円,64分,16080円,134件
3,900-999,1/284.7,19356円,63分,18523円,179件
4,1000-1099,1/229.8,19487円,56分,20821円,203件
5,1100-1199,1/157.6,21663円,51分,25402円,276件
6,1200-1299,1/95.6,20088円,42分,28934円,137件
