,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,700-799,1/329.8,12063円,57分,12663円,87件
1,800-899,1/284.4,9830円,50分,11909円,141件
2,900-999,1/269,15729円,56分,16909円,201件
3,1000-1099,1/219.4,13040円,46分,16936円,200件
4,1100-1199,1/158.8,13986円,41分,20486円,155件
5,1200-1299,1/100.1,10749円,29分,22321円,67件
