,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/368.7,9034円,58分,9397円,247件
1,700-799,1/357,12260円,61分,12025円,438件
2,800-899,1/299.7,10239円,51分,11962円,281件
3,900-999,1/269,16055円,56分,17190円,135件
4,1000-1099,1/215.6,8412円,39分,13039円,99件
5,1100-1199,1/140.9,18148円,45分,24066円,49件
6,1200-1299,1/111,52390円,90分,34743円,21件
