,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,700-799,1/362.3,13632円,63分,12935円,32件
1,800-899,1/333,18860円,68分,16702円,70件
2,900-999,1/273.8,20190円,63分,19247円,125件
3,1000-1099,1/229.6,17455円,53分,19629円,154件
4,1100-1199,1/160,24431円,55分,26538円,201件
5,1200-1299,1/101.7,20905円,43分,28993円,126件
