,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,800-899,1/339,15320円,63分,14509円,32件
1,900-999,1/260.2,20377円,62分,19792円,94件
2,1000-1099,1/227.8,21577円,59分,21801円,125件
3,1100-1199,1/157.1,20343円,49分,24887円,141件
4,1200-1299,1/101.5,27356円,53分,31241円,101件
