,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,0-99,1/621.3,-1190円,72分,-992円,1375件
1,100-199,1/615.4,-465円,73分,-385円,7107件
2,200-299,1/606.2,366円,73分,303円,7196件
3,300-399,1/567.2,752円,69分,657円,3557件
4,400-499,1/533.3,2223円,67分,1994円,2297件
5,500-599,1/520.2,1632円,65分,1514円,1358件
6,600-699,1/476.5,5414円,65分,5000円,764件
7,700-799,1/444.9,8666円,66分,7878円,629件
