,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/398.7,10161円,63分,9717円,63件
1,700-799,1/358.4,12129円,61分,11933円,139件
2,800-899,1/334.3,11825円,58分,12310円,206件
3,900-999,1/290.9,13657円,56分,14760円,310件
4,1000-1099,1/229.8,9869円,43分,13773円,384件
5,1100-1199,1/159.2,10249円,35分,17411円,347件
6,1200-1299,1/100.1,12539円,31分,24021円,175件
