,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,200-299,1/461.7,915円,57分,959円,27件
1,300-399,1/542.2,3714円,70分,3185円,381件
2,400-499,1/505.1,3684円,66分,3369円,965件
3,500-599,1/487.3,3779円,64分,3551円,1444件
4,600-699,1/454.8,4986円,62分,4844円,1585件
5,700-799,1/414.4,5636円,58分,5823円,1237件
6,800-899,1/354.2,6735円,53分,7650円,1013件
7,900-999,1/310.6,8383円,50分,10032円,739件
8,1000-1099,1/239.2,12069円,47分,15355円,552件
9,1100-1199,1/169.2,14247円,42分,20247円,339件
10,1200-1299,1/99.4,16367円,37分,26500円,101件
