,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,500-599,1/422,5504円,59分,5611円,517件
1,600-699,1/414.7,7263円,61分,7202円,871件
2,700-799,1/354.5,6796円,53分,7739円,595件
3,800-899,1/337.4,10921円,57分,11518円,262件
4,900-999,1/276.3,9845円,48分,12290円,211件
5,1000-1099,1/226.3,12669円,47分,16180円,117件
6,1100-1199,1/146.8,20525円,49分,24980円,98件
