,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/382,10367円,61分,10209円,79件
1,700-799,1/364.6,10296円,59分,10514円,167件
2,800-899,1/316,10701円,54分,11835円,266件
3,900-999,1/284.7,12332円,53分,14021円,297件
4,1000-1099,1/227.2,13483円,48分,16950円,254件
5,1100-1199,1/158.5,11197円,37分,18168円,186件
6,1200-1299,1/101.4,10295円,29分,21635円,82件
