,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/358.7,14133円,63分,13365円,23件
1,700-799,1/376.6,12021円,63分,11429円,67件
2,800-899,1/301,11293円,53分,12763円,126件
3,900-999,1/277.5,10626円,50分,12878円,198件
4,1000-1099,1/228.9,13306円,48分,16717円,269件
5,1100-1199,1/155.3,11539円,37分,18759円,267件
6,1200-1299,1/101.4,11353円,30分,22951円,147件
