,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,800-899,1/319.4,14219円,60分,14287円,31件
1,900-999,1/225.9,14062円,49分,17376円,63件
2,1000-1099,1/206.7,15949円,49分,19626円,94件
3,1100-1199,1/152.6,18289円,46分,23742円,132件
4,1200-1299,1/100.4,9541円,27分,21169円,74件
