,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,800-899,1/313.3,17149円,63分,16373円,24件
1,900-999,1/275.6,23567円,68分,20794円,44件
2,1000-1099,1/201.5,24747円,61分,24212円,89件
3,1100-1199,1/152.8,21063円,50分,25342円,108件
4,1200-1299,1/102.6,24222円,48分,30384円,70件
