,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,400-499,1/493,6354円,68分,5599円,250件
1,500-599,1/467.5,6066円,65分,5636円,596件
2,600-699,1/447.9,5083円,61分,4985円,867件
3,700-799,1/400.7,6680円,58分,6919円,957件
4,800-899,1/359,7716円,55分,8464円,742件
5,900-999,1/296.3,8621円,49分,10584円,621件
6,1000-1099,1/240,10431円,45分,13938円,466件
7,1100-1199,1/165.5,12949円,40分,19416円,331件
8,1200-1299,1/100.4,16388円,37分,26715円,148件
