,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,900-999,1/247.8,21317円,61分,21047円,34件
1,1000-1099,1/217.6,14658円,49分,18066円,56件
2,1100-1199,1/158.9,17961円,47分,23084円,101件
3,1200-1299,1/100.4,14445円,34分,25593円,68件
