,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,600-699,1/392,10544円,63分,10078円,23件
1,700-799,1/389.8,9997円,61分,9824円,63件
2,800-899,1/348.5,13482円,61分,13215円,103件
3,900-999,1/294.1,12189円,54分,13617円,177件
4,1000-1099,1/238.7,14466円,51分,17165円,220件
5,1100-1199,1/158.4,13599円,40分,20341円,264件
6,1200-1299,1/99.8,14372円,34分,25503円,147件
