,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,700-799,1/369.9,9496円,58分,9755円,35件
1,800-899,1/335,14105円,61分,13957円,71件
2,900-999,1/278.3,12027円,52分,13976円,99件
3,1000-1099,1/236.8,14698円,51分,17364円,156件
4,1100-1199,1/161,13871円,41分,20459円,188件
5,1200-1299,1/99.5,13319円,32分,24807円,135件
