,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,100-199,1/553.4,-1150円,64分,-1070円,33件
1,200-299,1/581.7,1643円,72分,1377円,565件
2,300-399,1/550.8,3049円,70分,2614円,1422件
3,400-499,1/533.1,3046円,68分,2685円,2153件
4,500-599,1/510,3580円,66分,3248円,2241件
5,600-699,1/465.6,4421円,62分,4263円,1853件
6,700-799,1/422.1,4895円,58分,5068円,1484件
7,800-899,1/380.4,7146円,56分,7613円,1076件
8,900-999,1/317.9,10658円,54分,11797円,787件
9,1000-1099,1/257.1,13065円,51分,15496円,450件
10,1100-1199,1/170.1,14137円,42分,20106円,208件
11,1200-1299,1/103.6,17158円,38分,26999円,72件
