,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,700-799,1/312.3,11100円,54分,12302円,27件
1,800-899,1/304.1,12665円,56分,13662円,74件
2,900-999,1/257.5,11510円,49分,14195円,106件
3,1000-1099,1/221.4,16032円,51分,19021円,169件
4,1100-1199,1/159.4,12413円,39分,19248円,190件
5,1200-1299,1/94.5,14363円,33分,25762円,117件
