,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,400-499,1/470.7,7566円,67分,6787円,63件
1,500-599,1/464,7650円,67分,6891円,208件
2,600-699,1/406.9,8758円,62分,8508円,400件
3,700-799,1/401.1,8240円,60分,8183円,593件
4,800-899,1/361,9232円,57分,9709円,731件
5,900-999,1/303.5,9554円,51分,11258円,769件
6,1000-1099,1/239.7,8678円,42分,12327円,685件
7,1100-1199,1/164.2,14466円,42分,20645円,508件
8,1200-1299,1/100,16790円,37分,26975円,274件
