,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,800-899,1/281.2,16704円,58分,17233円,38件
1,900-999,1/206,14465円,47分,18380円,69件
2,1000-1099,1/200.2,19467円,53分,22071円,94件
3,1100-1199,1/136.5,16408円,42分,23476円,82件
4,1200-1299,1/97.1,15509円,35分,26413円,46件
