,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,300-399,1/515.5,2148円,65分,1991円,1735件
1,400-499,1/496.5,3114円,64分,2922円,2998件
2,500-599,1/473.4,4184円,63分,4002円,1970件
3,600-699,1/428.2,5108円,59分,5199円,903件
4,700-799,1/398.1,5602円,56分,5994円,675件
5,800-899,1/355.2,7064円,54分,7909円,388件
6,900-999,1/293.9,13025円,55分,14244円,307件
7,1000-1099,1/257.4,8535円,44分,11573円,36件
