,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,300-399,1/495.8,5824円,67分,5185円,113件
1,400-499,1/518.9,4476円,68分,3928円,570件
2,500-599,1/459.4,4226円,61分,4141円,953件
3,600-699,1/458.3,5419円,63分,5176円,1183件
4,700-799,1/411.5,6455円,59分,6581円,1104件
5,800-899,1/358.4,6187円,53分,7066円,883件
6,900-999,1/302.6,8746円,50分,10542円,705件
7,1000-1099,1/237.6,11828円,47分,15192円,513件
8,1100-1199,1/164.2,13317円,40分,19786円,345件
9,1200-1299,1/99,15649円,36分,26135円,132件
