,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,300-399,1/527,7613円,73分,6244円,42件
1,400-499,1/512.2,4884円,68分,4299円,150件
2,500-599,1/461.9,7217円,66分,6584円,372件
3,600-699,1/439.8,7753円,64分,7262円,591件
4,700-799,1/411.7,9138円,63分,8718円,812件
5,800-899,1/375,7374円,56分,7904円,918件
6,900-999,1/309.6,9121円,51分,10755円,911件
7,1000-1099,1/243.6,9796円,44分,13260円,740件
8,1100-1199,1/161.8,14522円,42分,20847円,595件
9,1200-1299,1/100.9,16359円,37分,26665円,279件
