,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,100-199,1/581,40円,69分,35円,994件
1,200-299,1/568.7,884円,69分,768円,5163件
2,300-399,1/561.5,1672円,69分,1448円,5283件
3,400-499,1/517.1,2014円,65分,1866円,2556件
4,500-599,1/473.5,3732円,62分,3604円,1641件
5,600-699,1/464.6,2982円,60分,2969円,1020件
6,700-799,1/422.5,7451円,62分,7241円,559件
7,800-899,1/382.1,9997円,61分,9887円,474件
