,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,400-499,1/479.5,10345円,72分,8625円,50件
1,500-599,1/474.9,7054円,67分,6334円,116件
2,600-699,1/446.9,9289円,67分,8339円,244件
3,700-799,1/400,11112円,64分,10362円,419件
4,800-899,1/359.5,12676円,62分,12307円,519件
5,900-999,1/313.4,12425円,56分,13293円,567件
6,1000-1099,1/242.2,13796円,50分,16567円,608件
7,1100-1199,1/165.9,13456円,40分,20011円,621件
8,1200-1299,1/101.2,17738円,39分,27382円,274件
