,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,200-299,1/545.4,875円,66分,793円,634件
1,300-399,1/534.5,2000円,67分,1799円,3407件
2,400-499,1/515.7,3047円,66分,2770円,3445件
3,500-599,1/477.1,3325円,62分,3219円,1600件
4,600-699,1/431.8,5419円,60分,5448円,997件
5,700-799,1/398.8,4653円,55分,5070円,662件
6,800-899,1/370.2,8664円,57分,9058円,357件
7,900-999,1/309.4,12005円,55分,13063円,312件
