,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,200-299,1/558.9,1068円,68分,940円,2767件
1,300-399,1/543.8,2163円,68分,1907円,4704件
2,400-499,1/519.5,2376円,65分,2179円,3112件
3,500-599,1/473.5,3134円,61分,3067円,1536件
4,600-699,1/447.8,4160円,60分,4178円,1145件
5,700-799,1/414.6,5570円,58分,5729円,632件
6,800-899,1/360.9,11258円,60分,11253円,521件
7,900-999,1/342.2,7634円,53分,8718円,63件
