,AT間,初当り,期待値,時間,時給,ｻﾝﾌﾟﾙ
0,500-599,1/362.9,6481円,53分,7309円,118件
1,600-699,1/408.2,8273円,61分,8087円,539件
2,700-799,1/364.3,8799円,57分,9303円,572件
3,800-899,1/311.4,12158円,56分,13129円,273件
4,900-999,1/276.4,10979円,49分,13310円,167件
5,1000-1099,1/220.3,10312円,43分,14548円,110件
6,1100-1199,1/161.6,23861円,55分,25852円,60件
7,1200-1299,1/95.4,21255円,44分,28925円,42件
