,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,150-199,-2772円,159分,97.7%,483件
1,200-249,-1567円,157分,98.7%,839件
2,250-299,-2455円,158分,97.9%,1212件
3,300-349,-2288円,154分,98%,1423件
4,350-399,-1560円,151分,98.6%,1605件
5,400-449,-1355円,150分,98.8%,1631件
6,450-499,-1338円,147分,98.8%,1668件
7,500-549,-1027円,147分,99.1%,1743件
8,550-599,-1146円,145分,98.9%,1707件
9,600-649,-917円,144分,99.2%,1754件
10,650-699,-612円,139分,99.4%,1744件
11,700-749,230円,137分,100.2%,1679件
12,750-799,-925円,137分,99.1%,1983件
13,800-849,-60円,133分,99.9%,1971件
14,850-899,-356円,132分,99.6%,1956件
15,900-949,528円,129分,100.5%,1827件
16,950-999,279円,127分,100.3%,1742件
17,1000-1049,412円,126分,100.4%,1532件
18,1050-1099,445円,123分,100.5%,1481件
19,1100-1149,705円,122分,100.8%,1354件
20,1150-1199,528円,117分,100.6%,1272件
21,1200-1249,1139円,117分,101.3%,1289件
22,1250-1299,1382円,113分,101.6%,1209件
23,1300-1349,1211円,112分,101.4%,1134件
24,1350-1399,1716円,108分,102.1%,1211件
25,1400-1449,2333円,104分,103%,1196件
26,1450-1499,1662円,102分,102.2%,1068件
27,1500-1549,2481円,101分,103.3%,938件
28,1550-1599,2518円,98分,103.4%,960件
29,1600-1649,2661円,96分,103.7%,961件
30,1650-1699,2387円,91分,103.5%,886件
31,1700-1749,2887円,89分,104.3%,920件
32,1750-1799,3357円,86分,105.2%,852件
33,1800-1849,3797円,82分,106.2%,840件
34,1850-1899,3509円,78分,106%,833件
35,1900-1949,3617円,76分,106.3%,743件
36,1950-1999,3654円,73分,106.7%,773件
37,2000-2049,3739円,72分,107%,725件
38,2050-2099,4205円,67分,108.3%,715件
39,2100-2149,5073円,63分,110.7%,690件
40,2150-2199,4820円,61分,110.5%,708件
41,2200-2249,4818円,58分,111.2%,610件
42,2250-2299,4878円,55分,111.9%,610件
43,2300-2349,5188円,51分,113.5%,579件
44,2350-2399,5523円,47分,115.5%,565件
45,2400-2449,5809円,45分,117.2%,563件
46,2450-2499,6292円,44分,118.9%,545件
47,2500-2549,7167円,42分,122.7%,592件
48,2550-2599,7601円,40分,125.4%,532件
49,2600-2649,7892円,38分,127.5%,552件
50,2650-2699,8802円,36分,132.4%,488件
51,2700-2749,9156円,35分,135.1%,464件
52,2750-2799,10022円,32分,142.3%,427件
53,2800-2849,10756円,29分,149.3%,381件
54,2850-2899,12021円,26分,162.2%,337件
55,2900-2949,12699円,23分,175.1%,264件
