,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,2247円,138分,102.2%,781件
1,650-699,1692円,139分,101.6%,1063件
2,700-749,2364円,135分,102.3%,940件
3,750-799,2397円,133分,102.4%,846件
4,800-849,2904円,130分,103%,754件
5,850-899,2800円,130分,102.9%,675件
6,900-949,2378円,129分,102.5%,630件
7,950-999,3112円,124分,103.3%,620件
8,1000-1049,2898円,124分,103.1%,529件
9,1050-1099,3737円,121分,104.1%,501件
10,1100-1149,3664円,119分,104.1%,444件
11,1150-1199,4234円,116分,104.9%,454件
12,1200-1249,3866円,113分,104.6%,808件
13,1250-1299,3975円,110分,104.8%,439件
14,1300-1349,4562円,106分,105.7%,473件
15,1350-1399,4845円,105分,106.2%,445件
16,1400-1449,4862円,102分,106.3%,382件
17,1450-1499,4123円,101分,105.4%,376件
18,1500-1549,5075円,97分,107%,363件
19,1550-1599,5443円,96分,107.6%,338件
20,1600-1649,5574円,91分,108.1%,289件
21,1650-1699,6196円,89分,109.3%,296件
22,1700-1749,5672円,87分,108.7%,297件
23,1750-1799,6518円,84分,110.4%,335件
24,1800-1849,6422円,79分,110.8%,306件
25,1850-1899,5846円,80分,109.8%,300件
26,1900-1949,7190円,75分,112.8%,272件
27,1950-1999,7291円,73分,113.3%,256件
28,2000-2049,6788円,70分,112.9%,231件
29,2050-2099,8001円,67分,115.9%,264件
30,2100-2149,8320円,64分,117.2%,232件
31,2150-2199,7878円,58分,118.2%,240件
32,2200-2249,8089円,54分,120%,215件
33,2250-2299,8328円,49分,122.8%,228件
34,2300-2349,9432円,43分,129.5%,221件
35,2350-2399,9024円,40分,130%,203件
36,2400-2449,8865円,39分,130.6%,235件
37,2450-2499,9445円,37分,133.8%,215件
38,2500-2549,8994円,38分,131.3%,198件
39,2550-2599,10256円,34分,139.7%,216件
40,2600-2649,9901円,34分,138.6%,179件
41,2650-2699,10734円,32分,144.8%,204件
42,2700-2749,10862円,32分,145.8%,175件
43,2750-2799,11149円,30分,150.1%,171件
44,2800-2849,12345円,28分,159.9%,171件
45,2850-2899,12522円,24分,169%,180件
46,2900-2949,12774円,21分,180.7%,133件
