,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,450-499,287円,146分,100.3%,12918件
1,500-549,574円,145分,100.5%,4060件
2,550-599,1139円,142分,101.1%,2139件
3,600-649,1205円,141分,101.1%,1441件
4,650-699,1111円,139分,101.1%,1204件
5,700-749,1059円,137分,101%,1017件
6,750-799,1566円,135分,101.5%,959件
7,800-849,1816円,131分,101.9%,942件
8,850-899,1511円,131分,101.5%,964件
9,900-949,1957円,128分,102%,868件
10,950-999,1659円,126分,101.7%,845件
11,1000-1049,2226円,124分,102.4%,917件
12,1050-1099,2834円,124分,103%,903件
13,1100-1149,2389円,119分,102.7%,795件
14,1150-1199,2507円,115分,102.9%,949件
15,1200-1249,2842円,114分,103.3%,919件
16,1250-1299,3050円,112分,103.6%,861件
17,1300-1349,3920円,109分,104.8%,869件
18,1350-1399,4174円,108分,105.2%,826件
19,1400-1449,3686円,105分,104.7%,866件
20,1450-1499,3912円,101分,105.1%,790件
21,1500-1549,3798円,97分,105.2%,726件
22,1550-1599,4610円,97分,106.3%,706件
23,1600-1649,3805円,93分,105.5%,715件
24,1650-1699,4545円,91分,106.7%,699件
25,1700-1749,4544円,87分,106.9%,712件
26,1750-1799,5051円,84分,108%,645件
27,1800-1849,5530円,82分,109%,602件
28,1850-1899,5667円,80分,109.5%,633件
29,1900-1949,5844円,78分,110%,594件
30,1950-1999,5725円,73分,110.4%,590件
31,2000-2049,6001円,72分,111.2%,603件
32,2050-2099,6562円,68分,112.9%,605件
33,2100-2149,6918円,64分,114.4%,529件
34,2150-2199,6856円,58分,115.6%,561件
35,2200-2249,6483円,53分,116.3%,523件
36,2250-2299,7013円,48分,119.6%,510件
37,2300-2349,7452円,46分,121.8%,493件
38,2350-2399,7300円,43分,122.4%,477件
39,2400-2449,7400円,41分,123.8%,475件
40,2450-2499,7656円,41分,125.1%,483件
41,2500-2549,8404円,38分,129.5%,447件
42,2550-2599,8656円,37分,130.9%,447件
43,2600-2649,8764円,37分,131.7%,436件
44,2650-2699,9220円,36分,134.5%,401件
45,2700-2749,10218円,32分,142%,418件
46,2750-2799,10418円,30分,145.7%,395件
47,2800-2849,10877円,27分,153.1%,382件
48,2850-2899,11806円,25分,162.1%,357件
49,2900-2949,11710円,26分,160.3%,319件
