,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,7115円,118分,108%,295件
1,1350-1399,6879円,110分,108.3%,289件
2,1400-1449,7310円,103分,109.4%,283件
3,1450-1499,6750円,104分,108.7%,275件
4,1500-1549,7147円,103分,109.3%,280件
5,1550-1599,7053円,100分,109.4%,237件
6,1600-1649,5968円,97分,108.2%,223件
7,1650-1699,6852円,95分,109.6%,233件
8,1700-1749,7534円,89分,111.3%,238件
9,1750-1799,7383円,87分,111.3%,208件
10,1800-1849,7051円,86分,111%,221件
11,1850-1899,8184円,83分,113.1%,229件
12,1900-1949,7768円,76分,113.6%,185件
13,1950-1999,8343円,78分,114.2%,175件
14,2000-2049,7509円,72分,113.8%,177件
15,2050-2099,9534円,67分,119%,160件
16,2100-2149,6578円,66分,113.2%,145件
17,2150-2199,9109円,60分,120.1%,131件
18,2200-2249,7340円,56分,117.6%,146件
19,2250-2299,8181円,51分,121.3%,162件
20,2300-2349,9090円,46分,126.2%,137件
21,2350-2399,8441円,47分,124%,128件
22,2400-2449,8244円,47分,123.3%,114件
23,2450-2499,9689円,43分,130.4%,118件
24,2500-2549,9325円,43分,128.8%,119件
25,2550-2599,10068円,41分,133.1%,105件
26,2600-2649,10339円,40分,134.3%,107件
27,2650-2699,10470円,39分,136.2%,100件
28,2700-2749,10893円,35分,141.7%,94件
29,2750-2799,12272円,33分,149.4%,125件
30,2800-2849,12938円,29分,158.9%,108件
31,2850-2899,13281円,27分,166.3%,83件
32,2900-2949,15349円,24分,187%,79件
