,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,200-249,-1955円,158分,98.3%,31952件
1,250-299,-1730円,158分,98.5%,9645件
2,300-349,-1305円,156分,98.9%,5182件
3,350-399,-1309円,154分,98.9%,3489件
4,400-449,-863円,150分,99.2%,2932件
5,450-499,-999円,150分,99.1%,2450件
6,500-549,-641円,149分,99.4%,2392件
7,550-599,-489円,144分,99.5%,2284件
8,600-649,-536円,145分,99.5%,2246件
9,650-699,-229円,140分,99.8%,2187件
10,700-749,-275円,139分,99.7%,2193件
11,750-799,-292円,137分,99.7%,2145件
12,800-849,318円,135分,100.3%,2220件
13,850-899,218円,133分,100.2%,2035件
14,900-949,377円,129分,100.4%,2257件
15,950-999,809円,127分,100.8%,2348件
16,1000-1049,1143円,125分,101.2%,2191件
17,1050-1099,1261円,122分,101.4%,2145件
18,1100-1149,1242円,122分,101.4%,2034件
19,1150-1199,1049円,119分,101.2%,2038件
20,1200-1249,1414円,116分,101.6%,1899件
21,1250-1299,1837円,111分,102.2%,1879件
22,1300-1349,1862円,111分,102.2%,1779件
23,1350-1399,1805円,108分,102.2%,1730件
24,1400-1449,2394円,105分,103%,1732件
25,1450-1499,2119円,103分,102.7%,1729件
26,1500-1549,2301円,99分,103.1%,1619件
27,1550-1599,2570円,97分,103.5%,1562件
28,1600-1649,3172円,95分,104.4%,1620件
29,1650-1699,3285円,91分,104.8%,1498件
30,1700-1749,3348円,89分,105%,1512件
31,1750-1799,3517円,87分,105.4%,1508件
32,1800-1849,3301円,85分,105.2%,1416件
33,1850-1899,3963円,81分,106.5%,1354件
34,1900-1949,3823円,77分,106.6%,1405件
35,1950-1999,4057円,73分,107.4%,1331件
36,2000-2049,3931円,69分,107.6%,1275件
37,2050-2099,4590円,66分,109.3%,1275件
38,2100-2149,5078円,63分,110.7%,1230件
39,2150-2199,4824円,60分,110.8%,1191件
40,2200-2249,5052円,57分,111.9%,1193件
41,2250-2299,5312円,53分,113.3%,1180件
42,2300-2349,5601円,50分,115%,1143件
43,2350-2399,5652円,48分,115.8%,1047件
44,2400-2449,6433円,44分,119.5%,1064件
45,2450-2499,6402円,44分,119.5%,1024件
46,2500-2549,6773円,43分,121.2%,986件
47,2550-2599,7203円,40分,124%,1018件
48,2600-2649,7784円,39分,126.9%,949件
49,2650-2699,7914円,38分,127.6%,808件
