,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,600-649,729円,140分,100.7%,75件
1,650-699,1956円,140分,101.9%,124件
2,700-749,2130円,137分,102.1%,252件
3,750-799,2052円,135分,102%,306件
4,800-849,3707円,127分,103.9%,315件
5,850-899,2702円,129分,102.8%,297件
6,900-949,3267円,125分,103.5%,340件
7,950-999,3195円,126分,103.4%,325件
8,1000-1049,2881円,127分,103%,331件
9,1050-1099,4030円,117分,104.6%,344件
10,1100-1149,3597円,120分,104%,322件
11,1150-1199,4284円,113分,105.1%,293件
12,1200-1249,3569円,117分,104.1%,362件
13,1250-1299,4129円,109分,105%,350件
14,1300-1349,4479円,109分,105.5%,394件
15,1350-1399,4656円,107分,105.8%,296件
16,1400-1449,4369円,102分,105.7%,328件
17,1450-1499,5406円,103分,107%,262件
18,1500-1549,4861円,98分,106.6%,279件
19,1550-1599,5373円,97分,107.4%,249件
20,1600-1649,4737円,89分,107.1%,232件
21,1650-1699,6125円,90分,109.1%,238件
22,1700-1749,5984円,87分,109.2%,199件
23,1750-1799,6082円,84分,109.6%,220件
24,1800-1849,7313円,80分,112.2%,234件
25,1850-1899,6080円,78分,110.4%,231件
26,1900-1949,6531円,78分,111.2%,217件
27,1950-1999,6569円,75分,111.7%,168件
28,2000-2049,6841円,69分,113.2%,182件
29,2050-2099,7846円,65分,116%,168件
30,2100-2149,8280円,63分,117.5%,180件
31,2150-2199,6982円,60分,115.6%,167件
32,2200-2249,8155円,55分,119.8%,169件
33,2250-2299,7957円,48分,122%,166件
34,2300-2349,7554円,44分,122.8%,164件
35,2350-2399,8693円,40分,128.8%,146件
36,2400-2449,9417円,38分,132.8%,145件
37,2450-2499,9287円,38分,132.5%,129件
38,2500-2549,8592円,39分,129.6%,126件
39,2550-2599,9597円,36分,135.9%,105件
40,2600-2649,10085円,36分,137.6%,120件
41,2650-2699,11186円,34分,144%,117件
42,2700-2749,10825円,34分,142.6%,113件
43,2750-2799,11415円,29分,152.3%,113件
44,2800-2849,11667円,29分,154.3%,111件
45,2850-2899,12643円,26分,164.3%,91件
46,2900-2949,13285円,22分,180.5%,74件
