,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1300-1349,5810円,112分,106.9%,623件
1,1350-1399,5213円,110分,106.3%,589件
2,1400-1449,5046円,110分,106.1%,583件
3,1450-1499,5637円,107分,107%,598件
4,1500-1549,5998円,102分,107.8%,542件
5,1550-1599,6099円,99分,108.2%,573件
6,1600-1649,5970円,99分,108.1%,544件
7,1650-1699,5661円,93分,108.1%,473件
8,1700-1749,6489円,92分,109.4%,444件
9,1750-1799,6634円,89分,110%,459件
10,1800-1849,7205円,85分,111.3%,393件
11,1850-1899,5977円,83分,109.6%,367件
12,1900-1949,7587円,79分,112.9%,357件
13,1950-1999,6548円,75分,111.6%,363件
14,2000-2049,6727円,72分,112.4%,367件
15,2050-2099,7129円,67分,114.1%,353件
16,2100-2149,7018円,66分,114.2%,329件
17,2150-2199,6594円,62分,114.1%,321件
18,2200-2249,7307円,58分,116.8%,300件
19,2250-2299,6597円,56分,115.6%,298件
20,2300-2349,7314円,52分,118.7%,246件
21,2350-2399,7279円,49分,119.8%,286件
22,2400-2449,8123円,46分,123.6%,266件
23,2450-2499,8357円,44分,125.2%,263件
24,2500-2549,8623円,44分,126.1%,309件
25,2550-2599,8652円,43分,126.9%,252件
26,2600-2649,9581円,40分,132%,228件
27,2650-2699,10470円,38分,136.9%,230件
28,2700-2749,11033円,36分,140.9%,221件
29,2750-2799,11738円,33分,147%,211件
30,2800-2849,12619円,30分,156.2%,187件
31,2850-2899,14064円,27分,168.4%,191件
32,2900-2949,14847円,24分,182.6%,168件
