,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,850-899,3468円,135分,103.4%,1523件
1,900-949,4012円,133分,104%,1537件
2,950-999,3657円,130分,103.8%,1360件
3,1000-1049,4093円,126分,104.3%,1601件
4,1050-1099,4335円,124分,104.7%,1630件
5,1100-1149,4573円,122分,105%,1550件
6,1150-1199,4864円,120分,105.4%,1489件
7,1200-1249,5012円,119分,105.6%,1423件
8,1250-1299,4601円,117分,105.3%,1452件
9,1300-1349,4835円,113分,105.7%,1328件
10,1350-1399,4815円,110分,105.9%,1259件
11,1400-1449,5435円,108分,106.7%,1208件
12,1450-1499,4795円,105分,106.1%,1218件
13,1500-1549,5503円,102分,107.2%,1210件
14,1550-1599,5223円,99分,107%,1188件
15,1600-1649,5410円,95分,107.6%,1108件
16,1650-1699,5551円,94分,107.9%,1054件
17,1700-1749,6146円,91分,109%,1097件
18,1750-1799,6176円,87分,109.5%,1046件
19,1800-1849,6183円,85分,109.6%,1026件
20,1850-1899,6408円,82分,110.4%,1046件
21,1900-1949,6437円,80分,110.7%,1014件
22,1950-1999,6778円,77分,111.8%,933件
23,2000-2049,6753円,71分,112.6%,969件
24,2050-2099,6398円,67分,112.6%,940件
25,2100-2149,6331円,63分,113.5%,870件
26,2150-2199,7144円,60分,115.8%,883件
27,2200-2249,7268円,57分,117%,863件
28,2250-2299,7057円,53分,117.6%,813件
29,2300-2349,7201円,50分,119.1%,825件
30,2350-2399,7831円,47分,122.4%,805件
31,2400-2449,7622円,45分,122.7%,773件
32,2450-2499,7954円,44分,124.1%,737件
33,2500-2549,8704円,42分,127.5%,702件
34,2550-2599,8911円,41分,129.3%,707件
35,2600-2649,9070円,40分,130.6%,654件
36,2650-2699,9736円,37分,135.5%,700件
37,2700-2749,10349円,35分,139.4%,634件
38,2750-2799,10149円,35分,138.2%,547件
