,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,550-599,1784円,148分,101.6%,1971件
1,600-649,1986円,144分,101.8%,1884件
2,650-699,1942円,144分,101.8%,1892件
3,700-749,2259円,140分,102.2%,1818件
4,750-799,2094円,138分,102%,1853件
5,800-849,2206円,136分,102.2%,1804件
6,850-899,2570円,135分,102.5%,1825件
7,900-949,2527円,132分,102.6%,1647件
8,950-999,2748円,128分,102.9%,1906件
9,1000-1049,2988円,126分,103.2%,1946件
10,1050-1099,3366円,124分,103.6%,1830件
11,1100-1149,3600円,122分,103.9%,1803件
12,1150-1199,3531円,121分,103.9%,1695件
13,1200-1249,3135円,119分,103.5%,1703件
14,1250-1299,3570円,115分,104.1%,1586件
15,1300-1349,3895円,111分,104.7%,1543件
16,1350-1399,4195円,111分,105.1%,1447件
17,1400-1449,3762円,107分,104.7%,1449件
18,1450-1499,4468円,103分,105.8%,1460件
19,1500-1549,4148円,102分,105.4%,1445件
20,1550-1599,4275円,98分,105.8%,1348件
21,1600-1649,4398円,96分,106.1%,1284件
22,1650-1699,4899円,94分,106.9%,1324件
23,1700-1749,5104円,89分,107.6%,1254件
24,1750-1799,5181円,88分,107.9%,1272件
25,1800-1849,5381円,85分,108.4%,1245件
26,1850-1899,5310円,83分,108.5%,1188件
27,1900-1949,5875円,79分,109.9%,1139件
28,1950-1999,5836円,74分,110.5%,1180件
29,2000-2049,5574円,70分,110.5%,1112件
30,2050-2099,5550円,66分,111.2%,1071件
31,2100-2149,6223円,63分,113.1%,1049件
32,2150-2199,6345円,60分,114%,1005件
33,2200-2249,6245円,57分,114.6%,977件
34,2250-2299,6412円,53分,116%,988件
35,2300-2349,6696円,50分,117.9%,967件
36,2350-2399,6809円,47分,119.3%,940件
37,2400-2449,6979円,46分,120.4%,877件
38,2450-2499,7696円,43分,123.7%,873件
39,2500-2549,7788円,42分,124.5%,852件
40,2550-2599,8168円,41分,126.4%,810件
41,2600-2649,8715円,39分,130.2%,847件
42,2650-2699,9276円,37分,133.4%,779件
43,2700-2749,9237円,37分,133.4%,655件
