,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1100-1149,1738円,112分,102.1%,22件
1,1150-1199,5602円,120分,106.2%,24件
2,1200-1249,4984円,108分,106.2%,33件
3,1250-1299,8129円,108分,110.1%,30件
4,1300-1349,4845円,107分,106%,33件
5,1350-1399,4444円,99分,106%,31件
6,1400-1449,6294円,97分,108.6%,41件
7,1450-1499,6235円,93分,108.9%,42件
8,1500-1549,6955円,94分,109.8%,47件
9,1550-1599,7407円,97分,110.2%,55件
10,1600-1649,5336円,96分,107.4%,49件
11,1650-1699,6721円,88分,110.2%,63件
12,1700-1749,5668円,91分,108.3%,60件
13,1750-1799,7666円,82分,112.4%,66件
14,1800-1849,8244円,77分,114.3%,57件
15,1850-1899,6276円,84分,109.9%,55件
16,1900-1949,8508円,74分,115.4%,52件
17,1950-1999,6774円,76分,111.8%,58件
18,2000-2049,7836円,70分,115%,58件
19,2050-2099,6825円,66分,113.9%,51件
20,2100-2149,9072円,58分,120.8%,42件
21,2150-2199,9453円,61分,120.8%,58件
22,2200-2249,7084円,53分,117.9%,36件
23,2250-2299,6740円,52分,117.4%,47件
24,2300-2349,9334円,44分,128%,48件
25,2350-2399,10111円,37分,136%,41件
26,2400-2449,7275円,43分,122.4%,31件
27,2450-2499,10422円,35分,139.8%,33件
28,2500-2549,10066円,32分,142.3%,28件
29,2550-2599,10736円,34分,142.5%,31件
30,2600-2649,10458円,34分,141.1%,28件
31,2650-2699,11305円,32分,147%,38件
32,2700-2749,11422円,29分,152.4%,32件
33,2750-2799,11425円,31分,149.4%,28件
34,2800-2849,11839円,27分,157.6%,26件
35,2850-2899,12431円,25分,166.5%,31件
36,2900-2949,12841円,21分,182.1%,28件
