,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1500-1549,5587円,104分,107.2%,330件
1,1550-1599,6533円,99分,108.8%,339件
2,1600-1649,6765円,97分,109.3%,339件
3,1650-1699,6908円,92分,110%,305件
4,1700-1749,6292円,90分,109.3%,312件
5,1750-1799,7128円,90分,110.6%,307件
6,1800-1849,7107円,84分,111.3%,273件
7,1850-1899,7595円,85分,112%,243件
8,1900-1949,7487円,79分,112.6%,269件
9,1950-1999,8337円,74分,115%,234件
10,2000-2049,6591円,73分,112.1%,212件
11,2050-2099,7988円,68分,115.6%,192件
12,2100-2149,7131円,63分,115%,219件
13,2150-2199,7209円,60分,115.9%,212件
14,2200-2249,8078円,55分,119.6%,199件
15,2250-2299,8095円,55分,119.8%,194件
16,2300-2349,7554円,51分,119.6%,184件
17,2350-2399,8607円,46分,125%,172件
18,2400-2449,8007円,48分,122.2%,168件
19,2450-2499,8863円,45分,126.5%,147件
20,2500-2549,8999円,44分,127%,162件
21,2550-2599,9527円,42分,130.4%,145件
22,2600-2649,10030円,39分,134.2%,144件
23,2650-2699,10695円,38分,137.8%,171件
24,2700-2749,10885円,36分,140.2%,145件
25,2750-2799,12088円,33分,149.1%,132件
26,2800-2849,13495円,30分,160.7%,136件
27,2850-2899,13870円,28分,165.2%,124件
28,2900-2949,14563円,24分,180.6%,108件
