,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,750-799,1781円,138分,101.7%,39件
1,800-849,3687円,134分,103.7%,51件
2,850-899,2905円,126分,103.1%,71件
3,900-949,3782円,131分,103.9%,60件
4,950-999,2727円,121分,103%,72件
5,1000-1049,4230円,127分,104.4%,78件
6,1050-1099,2755円,123分,103%,98件
7,1100-1149,2427円,118分,102.7%,82件
8,1150-1199,3744円,117分,104.3%,100件
9,1200-1249,4926円,111分,105.9%,123件
10,1250-1299,3274円,116分,103.8%,107件
11,1300-1349,3685円,115分,104.3%,123件
12,1350-1399,3994円,112分,104.8%,122件
13,1400-1449,3550円,104分,104.5%,130件
14,1450-1499,3339円,107分,104.2%,158件
15,1500-1549,4629円,99分,106.3%,137件
16,1550-1599,4199円,100分,105.6%,122件
17,1600-1649,4039円,99分,105.4%,134件
18,1650-1699,5244円,90分,107.7%,133件
19,1700-1749,4747円,92分,106.9%,146件
20,1750-1799,6606円,84分,110.5%,150件
21,1800-1849,3435円,84分,105.4%,132件
22,1850-1899,6686円,76分,111.7%,123件
23,1900-1949,6132円,78分,110.5%,128件
24,1950-1999,5280円,72分,109.8%,100件
25,2000-2049,5595円,70分,110.7%,114件
26,2050-2099,5786円,65分,111.9%,100件
27,2100-2149,7445円,60分,116.6%,121件
28,2150-2199,5798円,58分,113.4%,73件
29,2200-2249,7743円,54分,119.3%,93件
30,2250-2299,7158円,47分,120.3%,79件
31,2300-2349,7761円,49分,121.2%,83件
32,2350-2399,7094円,45分,121%,84件
33,2400-2449,7839円,44分,124%,87件
34,2450-2499,7029円,46分,120.5%,81件
35,2500-2549,7801円,43分,124.3%,68件
36,2550-2599,8107円,41分,126.6%,69件
37,2600-2649,8508円,39分,129%,74件
38,2650-2699,9273円,36分,134.1%,73件
39,2700-2749,9844円,33分,139.9%,51件
40,2750-2799,10026円,31分,143.1%,73件
41,2800-2849,11518円,30分,151.2%,63件
42,2850-2899,12932円,25分,168.9%,58件
43,2900-2949,13119円,23分,177.2%,41件
