,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,1050-1099,6437円,129分,106.6%,56件
1,1100-1149,5243円,122分,105.7%,58件
2,1150-1199,5402円,120分,106%,69件
3,1200-1249,6244円,120分,106.9%,78件
4,1250-1299,5829円,118分,106.6%,87件
5,1300-1349,5292円,111分,106.3%,74件
6,1350-1399,6282円,111分,107.5%,86件
7,1400-1449,5814円,107分,107.3%,80件
8,1450-1499,5661円,101分,107.4%,89件
9,1500-1549,4706円,102分,106.1%,101件
10,1550-1599,5858円,98分,107.9%,99件
11,1600-1649,6360円,94分,109.1%,126件
12,1650-1699,6538円,93分,109.4%,107件
13,1700-1749,7177円,93分,110.3%,116件
14,1750-1799,7567円,90分,111.2%,103件
15,1800-1849,6542円,85分,110.3%,90件
16,1850-1899,6868円,80分,111.4%,126件
17,1900-1949,6393円,76分,111.2%,115件
18,1950-1999,5765円,76分,110.1%,103件
19,2000-2049,8448円,70分,116.1%,107件
20,2050-2099,6106円,68分,112%,75件
21,2100-2149,5848円,66分,111.8%,87件
22,2150-2199,6854円,65分,114.2%,68件
23,2200-2249,6798円,60分,115.2%,70件
24,2250-2299,6811円,53分,117.1%,73件
25,2300-2349,8430円,49分,123.1%,76件
26,2350-2399,8045円,46分,123.6%,61件
27,2400-2449,6969円,47分,119.8%,63件
28,2450-2499,8353円,45分,124.8%,67件
29,2500-2549,8240円,43分,125.4%,56件
30,2550-2599,8743円,42分,127.5%,68件
31,2600-2649,8721円,43分,126.9%,62件
32,2650-2699,9890円,37分,135.2%,53件
33,2700-2749,11106円,35分,142%,47件
34,2750-2799,11145円,32分,146.7%,44件
35,2800-2849,12728円,28分,159.7%,46件
36,2850-2899,13513円,28分,164%,59件
37,2900-2949,14277円,24分,179.5%,52件
