,有利区間ハマり,期待値(等価),時間,出玉率,ｻﾝﾌﾟﾙ
0,400-449,-693円,149分,99.4%,149件
1,450-499,-1942円,150分,98.3%,183件
2,500-549,-1639円,149分,98.5%,224件
3,550-599,-807円,140分,99.2%,295件
4,600-649,-2367円,143分,97.8%,332件
5,650-699,-237円,139分,99.8%,357件
6,700-749,-416円,138分,99.6%,404件
7,750-799,-217円,136分,99.8%,455件
8,800-849,-446円,136分,99.6%,487件
9,850-899,9円,131分,100%,469件
10,900-949,188円,129分,100.2%,523件
11,950-999,-452円,130分,99.5%,542件
12,1000-1049,-216円,126分,99.8%,596件
13,1050-1099,837円,120分,100.9%,612件
14,1100-1149,725円,124分,100.8%,603件
15,1150-1199,791円,118分,100.9%,612件
16,1200-1249,1563円,113分,101.8%,583件
17,1250-1299,1073円,114分,101.3%,528件
18,1300-1349,1121円,111分,101.3%,554件
19,1350-1399,2045円,107分,102.6%,518件
20,1400-1449,1440円,105分,101.8%,480件
21,1450-1499,1741円,103分,102.3%,488件
22,1500-1549,2147円,101分,102.8%,486件
23,1550-1599,2912円,96分,104%,458件
24,1600-1649,2415円,93分,103.4%,460件
25,1650-1699,2877円,92分,104.2%,449件
26,1700-1749,2494円,87分,103.8%,391件
27,1750-1799,3403円,86分,105.3%,358件
28,1800-1849,3394円,83分,105.5%,379件
29,1850-1899,4240円,79分,107.2%,323件
30,1900-1949,3415円,76分,106%,307件
31,1950-1999,5093円,73分,109.3%,307件
32,2000-2049,3696円,70分,107.1%,298件
33,2050-2099,4070円,67分,108.1%,301件
34,2100-2149,4686円,62分,110.1%,289件
35,2150-2199,4838円,60分,110.8%,271件
36,2200-2249,4880円,57分,111.4%,270件
37,2250-2299,5417円,51分,114%,236件
38,2300-2349,4505円,52分,111.6%,245件
39,2350-2399,5618円,48分,115.7%,206件
40,2400-2449,5753円,46分,116.7%,237件
41,2450-2499,6936円,42分,122%,222件
42,2500-2549,7029円,41分,122.7%,216件
43,2550-2599,7424円,41分,124.4%,255件
44,2600-2649,7589円,39分,125.7%,214件
45,2650-2699,8430円,36分,131.1%,189件
46,2700-2749,9381円,34分,136.8%,190件
47,2750-2799,9928円,32分,140.8%,178件
48,2800-2849,10901円,29分,150.3%,175件
49,2850-2899,11644円,25分,161%,149件
50,2900-2949,13150円,23分,176.2%,137件
